wins,move1,move2,move3,move4,move5,move6,move7,move8,move9
1,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
1,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0
1,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0
1,2.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0
1,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0
1,2.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0
1,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0
1,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0
1,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0
1,2.0,1.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0
1,2.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0
1,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0
0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0
0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
1,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,0.0
1,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0
1,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0
1,3.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0
1,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
1,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
1,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0
1,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0
1,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0
1,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0
1,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0
1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
1,3.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0
1,3.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0
1,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0
1,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0
1,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0
1,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0
0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0
1,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0
1,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0
1,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0
1,2.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
1,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
1,2.0,3.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0
1,2.0,3.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0
1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0
1,2.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0
1,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0
1,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0
1,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0
1,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0
1,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0
1,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0
1,2.0,3.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0
1,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0
1,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0
1,2.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0
0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0
1,2.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0
1,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0
1,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0
1,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0
1,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0
1,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0
1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0
1,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,0.0
1,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0
1,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0
1,3.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0
1,2.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0
1,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0
1,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0
1,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0
1,2.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0
1,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0
1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0
1,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0
1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0
0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0
1,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0
1,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,0.0
1,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0
1,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0
1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0
1,2.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0
1,3.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0
1,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0
1,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0
1,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0
1,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,0.0
1,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0
1,2.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0
1,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0
1,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0
1,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0
0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0
1,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0
1,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0
1,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0
1,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0
1,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,0.0
1,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0
1,3.0,3.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0
1,2.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0
1,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
